0,1
Coal,Coal
Nuclear,Nuclear
Oil,Simil-OCGT
Wind Offshore,Weather Dependent
Wind Onshore,Weather Dependent
Solar Photovoltaics,Weather Dependent
Large Hydro,Hydro
Small Hydro,Hydro
Anaerobic Digestion,Biomass
EfW Incineration,Biomass
Landfill Gas,Biomass
Sewage Sludge Digestion,Biomass
Shoreline Wave,Excluded
Tidal Barrage and Tidal Stream,Excluded
Biomass (co-firing),Biomass
Biomass (dedicated),Biomass
Pumped Storage Hydroelectric,Pumped storage
Battery,Battery
Compressed Air,Simil-CCGT
Liquid Air,Simil-CCGT
Interconnector,Interconnector
Englandconnector,Englandconnector
CCS Gas,Simil-CCGT
CCS Biomass,Biomass
Hydrogen,Hydrogen
Unmet Load,Excluded
Tidal lagoon,Excluded
Tidal stream,Excluded
Wave power,Excluded
Waste,Biomass
